x1,x2,y
2.04272,0.51812,1
1.72034,-0.13234,1
-0.26387,0.76383,0
-0.09804,0.18008,1
0.47848,-0.39878,1
1.95458,0.39548,1
0.9276,0.33816,0
0.07355,0.97353,0
-0.53506,0.80667,0
0.68549,-0.56261,1
-1.10468,0.07608,0
0.08096,0.22175,1
1.42569,-0.54162,1
0.09979,0.83536,0
0.08931,-0.00704,1
0.84769,0.34264,0
1.80178,0.05398,1
0.49841,0.74708,0
1.05956,0.23172,0
0.76364,0.49502,0
0.82059,0.29544,0
-0.94662,0.15535,0
-0.54057,0.75885,0
-0.36463,0.95144,0
1.73758,-0.2137,1
1.42804,-0.37234,1
1.10279,0.16425,0
0.94257,0.64203,0
1.04551,-0.4119,1
0.89257,0.08037,0
1.59913,-0.37309,1
0.83956,-0.37381,1
0.10698,-0.16548,1
1.26951,-0.61118,1
-0.79929,0.53671,0
0.86696,-0.51917,1
1.89492,0.31707,1
-0.67878,0.6964,0
1.85454,0.11308,1
-0.07966,0.97891,0
0.17747,1.12743,0
1.88912,0.55096,1
0.36079,-0.20514,1
0.75689,-0.28673,1
-0.23444,1.18855,0
1.37708,-0.36877,1
1.57211,-0.51777,1
0.54653,0.76683,0
-0.42082,0.90454,0
0.2451,-0.17871,1
-0.35216,0.79005,0
-0.36823,1.00219,0
-0.16096,0.86893,0
-0.89281,0.33074,0
1.57236,-0.2106,1
0.25667,-0.08139,1
-0.05077,1.03164,0
-0.17146,0.99661,0
2.16057,0.4355,1
-0.42834,0.85602,0
0.14436,0.17829,1
0.60402,-0.16697,1
0.64353,0.87057,0
0.46489,0.89002,0
-0.83593,0.50902,0
0.22199,0.94676,0
-0.22598,1.05867,0
0.16348,0.40367,1
-0.02143,0.90264,0
-0.0401,0.09252,1
0.98179,-0.61478,1
-0.37538,1.07908,0
1.00891,-0.33399,1
-0.03864,1.05677,0
1.83057,0.13974,1
-1.08542,0.55976,0
-0.6911,0.52874,0
1.30982,-0.44971,1
0.15207,-0.10696,1
0.43071,-0.52967,1
0.00171,0.98929,0
-1.04037,0.37463,0
-0.72388,0.71901,0
1.82412,0.36668,1
1.71144,-0.00404,1
0.65918,-0.43329,1
0.21085,1.08556,0
0.05058,0.42536,1
-1.08757,0.01203,0
1.85265,-0.2808,1
-1.12982,0.3616,0
-0.9963,0.0526,0
1.89644,0.10462,1
-0.24653,0.99172,0
0.37868,-0.34803,1
-1.08638,0.1697,0
0.15945,-0.04068,1
0.90278,0.54057,0
-0.52511,0.78774,0
0.39259,-0.2926,1
1.3344,-0.47112,1
1.57812,-0.28567,1
0.66972,0.40653,0
