id,search_keyword,text,followers_count,followings_count,listed_count,statuses_count,user_effect,retweet_count,tweet_length,time_span,registration_age,registration_age_days,hashtags_count,r_score,target
1.63E+18,دانش آموز اصفهانی,"ماجرای دختر اصفهانی!
دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
 در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره! https://t.co/LhWZZcJypM",453,622,0,263,0.728,0,291,338,0,338,0,0.421,0
1.63E+18,دانش آموز اصفهانی,"این تصویر #سارا_شیرازی دانش آموز و دختری خردسال اصفهانی است که در راه مدرسه بخاطر حجاب اجباری که بر سر نداشت مورد حمله یکی از عوامل وحشی جمهوری اسلامی قرار گرفت.! 
حالا ما باید به زبان های مختلف این موضوع رو رسانه ای کنیم.
#مهسا_امینی 
#IRGCterrorists https://t.co/jiNg0O72uQ",2791,2305,0,835,1.211,19,275,3580,9,3581,3,0.548,1
1.63E+18,دانش آموز اصفهانی,"ماجرای دختر اصفهانی!
دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
 در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره!ضارب دستگیرشده https://t.co/fiopGI5ZY0",226,555,1,1126,0.407,0,299,119,0,120,0,0.289,0
1.63E+18,دانش آموز اصفهانی,"کار مادر دانش آموز اصفهانی خیلی خیلی غلط و ناپسند بود اما کاسبان درد مردم کثیف تر از اون زنی هستند که این کودک معصوم رو زد.
بسیار بسیار کثیف تر!!",1532,1989,0,4100,0.77,12,145,128,0,129,0,0.435,0
1.63E+18,دانش آموز اصفهانی,"گفتن این دروغ ها فقط از حیوونایی چون شما بر میاد، چون سر سفره پدر و مادر نبودید
♦️ماجرای دختر اصفهانی!
 دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر  مادرشه که رفته برادرش رو از مدرسه بیاره، که با مادر ی دانش آموز دیگه درگیری لفظی پیدا میکنه و ضرب و شتم https://t.co/XyWokC8MFN",140,176,0,1259,0.795,0,299,115,0,116,0,0.443,1
1.63E+18,دانش آموز اصفهانی,"ماجرای اخبار دروغ اپوزیسیون درباره تصویر دانش آموز #دخترک_ایران  اصفهانی در فضای مجازی.
#سارا_شیرازی 
#مهسا_امینی https://t.co/D27z21iJUq",37,452,0,4292,0.082,0,137,561,1,562,3,0.076,0
1.63E+18,دانش آموز اصفهانی,"♦️ماجرای دختر اصفهانی!

🔹دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره https://t.co/zTNYDTmZ00",142,404,0,321,0.351,0,293,93,0,94,0,0.26,0
1.63E+18,دانش آموز اصفهانی,"ماجرای دختر اصفهانی!
دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
 در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیره!
#جهاد_تبیین",153,342,0,200,0.447,0,279,62,0,63,1,0.309,0
1.63E+18,دانش آموز اصفهانی,"♦️ماجرای دختر دانش‌آموز اصفهانی با صورت خون‌آلود چه بود؟ 

♦️ پلیس: ماجرا دعوای دو دانش آموز بوده؛ ورود مادر یکی از آنها منجر به آسیب دیدن این دختر می‌شود
https://t.co/gyqoH4dAbV https://t.co/ycKrStOy0u",43036,0,313,144079,0,6,202,3134,8,3135,0,0,0
1.63E+18,دانش آموز اصفهانی,"ماجرای دختر اصفهانی!
دیروز دوم اسفند وقتی که مدرسه تعطیل میشه این دانش آموز بیرون مدرسه منتظر میمونه تا مادرش که رفته برادرش رو از مدرسه بیاره برسه،
 در همین حین مادر یک دانش آموز دیگه که داشته رد میشده با این دانش آموز درگیری لفظی پیدا میکنه و ضرب و شتم صورت میگیرد.@babishnews https://t.co/BZvmahxKKV",202,424,0,157,0.476,0,302,46,0,48,0,0.323,0
