Text,Label
i now feel like im finally in a position to decide whether to indulge in joyful jubilations and claim my free chocolate bar,joy
i feel resigned to my lot in life being that i watch everyone else become a parent,sadness
i feel thrilled with your presence in your eyes i feel the belief in peace in sincerity,joy
i may finally sit down and feel sweet release only to notice i have misplaced my glasses or that the kids have found a unique place for them,joy
i feel a bit jealous because i been trying to date him long time ago but he doesnt want me,anger
i have to say im feeling very tender about a great many things today being a mom is one,love
ive been feeling a bit paranoid like its really noticable that im off and that everyone can see that,fear
i need to get in touch with what i want and how i want to feel did i mention how much i hate people caring for me,love
i think about the woman in the congregation who cried as she spoke about the family trying to find a church where her homosexual daughter would feel accepted,love
i am no fan of the current president i am a conservative and it made me feel unwelcome,sadness
i am a bit too impractical in thoughts as i feel that makes life less doubtful,fear
i want all of my feelings rage and terror and longing to wash over me and fill me as the alternative is the dull anxiety of every day living,love
i felt the sadness and remorse we are supposed to feel when we realize we have wronged someone corinthians,anger
i got a feeling that they were trying to create a nostalgic atmosphere but it didnt work for me,love
i vividly remember feeling so offended that she would even dream such a thing could be a choice,anger
i couldnt be entirely satisfied because i longed for a companion i could feel entirely devoted to as i am now,love
i anyone another lovely day today weather am running late with life generally and not done any art today yet feel deprived bit of,sadness
i find when i look at things in this way i deal with the situation better and do not feel as agitated,fear
i felt towards my dad growing up i think it eerily parallels how i feel towards romantic interests now,love
i feel like on my ugly days or ugly phases as i call them i m not just unattractive but that i m unattractive in an odd way,sadness
i am tired feeling overwhelmed and it seems like i am being assaulted from every direction i am not always at my best,fear
i could be really screwed just on waiting for a sitter so i was feeling stressed,anger
im having my biannual mammogram and although i know it only hurts for a while im feeling unusually apprehensive,fear
i used to feel sadness about this having fond memories of formation and friendships in tec parishes,love
i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,joy
i feel like i have to start taking it more seriously but i m already exhausted,sadness
i feel so numb like this life i have been living for the past week has been unreal,sadness
i feel petty for saying shes fucked up because technically she doesnt have to get me a gift,anger
i would watch him and feel frustrated he didn t realize that fifteen feet away was the ocean the freaking wave crashing covering the majority of the earth ocean,anger
i feel like all women are witches in someway why do we have to be tortured for being beautiful and powerful,anger
i stayed under the freezing stream maybe a few minutes longer than i would have otherwise enjoying the feeling of water over my abused body,sadness
i am feeling jealous i remind myself of this story and it keeps me on the path to better living,anger
im a marketer and i couldnt be bothered to investigate further which makes me feel that consumers probably cant be bothered either,anger
ill explain below two simple techniques you can use to almost instantly feel relief from that aching pain,sadness
i seriously considered pulling the offer and i was feeling that we rushed into it all too quickly,anger
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy
i feel irritable or depressed during the course of the day i just stop and think am i too hungry angry lonely or tired,anger
i feel i m doing to my mom what i despised so much when it was done to me,anger
i compare your beauty i feel unsure where to begin to angels or nature or what,fear
i had to choose the sleek and smoother feel of the sweet revenge made drawing and handling the blaster a bit nicer,love
i still didnt start feeling contractions but it was a tender mercy for me because she would have come on the st no matter what,love
i feel like ive been held back a lot this summer with soccer and my mom not trusting me,joy
i shouldnt be afraid to go out in public and feel paranoid because ive done nothing wrong,fear
occured while preparing for a midterm in social welfare that i thought was going to be very hard and felt unprepared for,fear
i can breathe his scent the first time i will feel his embrace if only in a friendly hug in five years,joy
im trying to go on how i feel hopefully next time i brave the scales i will have been good for a few days and will see a nicer number,joy
i feel devastated that this occured but it was for a good cause hopefully no more dogs run around acting like that so they too dont get shot down,sadness
i left feeling defeated like nothing had been accomplished the day a complete waste of time amp energy,sadness
i am rushed about here there and everywhere by my family or friends i am often left feeling very drained and exhausted,sadness
i also feel terrified but i ve found that since i ve started saying i m terrified out loud i feel less terrified,fear
i feel sort of pathetic saying that my iphone internet and tv are my must haves but lets be honest they are,sadness
i don t always have access to when i m feeling stressed which is usually the time i am most in need of the silence,sadness
i loved how all his pack mates bonded with her the touchy feely way they were with each other was sweet,joy
i feel very popular and also a little pressure to keep it up which is exactly what i need,joy
i feel the longing for the way things used to be makes the ride a bit of an emotional roller coaster,love
the patient whom i expected to get well suddenly passed away after he showed had his meals,anger
i got to feel that kind of joy was during college and even then i was still caring for others providing for others and just generally being elizabeth,love
i feel vaguely frustrated with the extent that thoughts about cycling invade the space in my mind,anger
i feel like fake eyeglasses will make me look older and hell a little more authoritative too,sadness
i feel anguish for a family that was assaulted raped and systematically assassinated by u,fear
i feel like a letdown and i feel like i allow myself to be hurt,sadness
i also told my cousin that i feel like the other family members do not know how to talk to me or are afraid to talk to me,fear
i wish i could say hey you know if i died tomorrow i wouldnt feel cheated on life or regretful that i didnt accomplish something,sadness
i need to get back to work rewriting an introduction i feel woeful inadequate in writing ill make this short,sadness
i tried to write it off as normal and ignored all feelings throwing myself into a very unsuccessful relationship with a boy when i was about,sadness
i feel a bit frightened that you are touching my car while i am away repeatedly i ask you to stop putting stuff on it,fear
i feel a bit stressed because it feels like im supposed to do something all the time and that i should be reading now,anger
i learned to feel the clay and its limits the artistic expression became more important than the mastery of the material,joy
i just feel so depressed and i don t know what would make me happy,sadness
i am not a very extremely good friend of someone of course i feel reluctant to some extent if i have to do favours for that someone,fear
i empathize with the feeling of being dissatisfied not where i want to be but no i dont feel that way,anger
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear
i feel dont mention food and dont think ur being considerate by noticing my obsession with this and talking to me about,love
i did develop unknown feelings for him i think thats the reason why i feel like ive been settling for all the other guys who liked me,love
i feel like im but at least im not feeling pressured to write when i dont want to,fear
i feel like people dont really want me in their company but also they dont want to hurt my feelings,sadness
ive borne witness to the suffering of other innocent children at the hands of the violent and i feel helpless in trying to make things better for them,sadness
i did it i survived our very first big kid trauma though i still feel shaken by the whole event,fear
i feel carefree and weightless and yet worried and grounded all at the same time,joy
i learned the silent crushing pain of not being wanted and feeling i was unloved,sadness
i hate the feeling that i am a pathetic loser that can do nothing right,sadness
i was feeling awfully indecisive this morning when i started to think about what i wanted to do to get my heart pumpin,fear
i feel like we barely know each other and time just isnt being generous with our love,love
i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever,sadness
i feel when you dont talk to me my friend so loyal and free i dont want it to stay like this i want to have that bliss,love
i mean not one i feel that it is my duty to help all of our loyal readers of hb understand the world that is going on around them,love
i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful,joy
i feel the character im doing is a little more beaten down and the comedy is a little bit smaller,sadness
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness
i feel more like the manager everyday and i feel more respected by the day as well,joy
i can go from elated laughing to plunging back into my extreme misery at a simple exchange that it feels so dangerous now,anger
i like about dating him is how outgoing he is which makes me feel more at ease because im somewhat shy,fear
i feel at ease in those moments but the last few nights have been troubled,sadness
i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,joy
ive been feeling helpless since superstorm sandy hit one of my favorite places in the world and i suspect a lot of you share that feeling,fear
i am at the bus stop and i hear the squeak of a baachan trolley i feel a little paranoid,fear
